method,leak_id,start_time,demo_start,leak_type,year,alarmed,detected,false_alarm_before_leak,alarm_time,alarm_delay_h,threshold,calib_center,calib_scale,missed,detection_delay_hours,leak_start_time,leak_end_time
CUSUM,p123,2019-09-13 20:05:00,2019-09-12 00:00:00,incipient,2019.0,True,True,False,2019-09-29 02:00:00,365.9166666666667,80.63088779409964,1.9084803284403122,1.3438481299016607,False,365.9166666666667,2019-09-13 20:05:00,2019-12-31 23:55:00
XBarFDM,p123,2019-09-13 20:05:00,2019-09-12 00:00:00,incipient,2019.0,False,False,False,,,5.120749650619411,-0.45195699873088674,1.3931766623375743,True,,2019-09-13 20:05:00,2019-12-31 23:55:00
Hybrid,p123,2019-09-13 20:05:00,2019-09-12 00:00:00,incipient,2019.0,True,True,False,2019-09-29 02:00:00,365.9166666666667,,,,False,365.9166666666667,2019-09-13 20:05:00,2019-12-31 23:55:00
CUSUM,p455,2019-10-03 14:00:00,2019-10-02 00:00:00,incipient,2019.0,True,True,False,2019-11-05 16:15:00,794.25,77.69094341310814,1.8551231935518016,1.2948490568851356,False,794.25,2019-10-03 14:00:00,2019-12-31 23:55:00
XBarFDM,p455,2019-10-03 14:00:00,2019-10-02 00:00:00,incipient,2019.0,False,False,False,,,4.390260708669061,-0.5939270779662142,1.2460469466588189,True,,2019-10-03 14:00:00,2019-12-31 23:55:00
Hybrid,p455,2019-10-03 14:00:00,2019-10-02 00:00:00,incipient,2019.0,True,True,False,2019-11-05 16:15:00,794.25,,,,False,794.25,2019-10-03 14:00:00,2019-12-31 23:55:00
CUSUM,p762,2019-10-09 10:15:00,2019-10-08 00:00:00,incipient,2019.0,True,True,False,2019-10-29 17:10:00,486.9166666666667,71.83032043391951,1.8467053746648148,1.1971720072319918,False,486.9166666666667,2019-10-09 10:15:00,2019-12-31 23:55:00
XBarFDM,p762,2019-10-09 10:15:00,2019-10-08 00:00:00,incipient,2019.0,False,False,False,,,4.250513657444409,-0.5294724566089001,1.1949965285133273,True,,2019-10-09 10:15:00,2019-12-31 23:55:00
Hybrid,p762,2019-10-09 10:15:00,2019-10-08 00:00:00,incipient,2019.0,True,True,False,2019-10-29 17:10:00,486.9166666666667,,,,False,486.9166666666667,2019-10-09 10:15:00,2019-12-31 23:55:00
CUSUM,p426,2019-10-25 13:25:00,2019-10-24 00:00:00,abrupt,2019.0,True,False,True,2019-10-25 02:55:00,-10.5,53.45075078981034,2.0484334696078244,0.8908458464968391,True,-10.5,2019-10-25 13:25:00,2019-12-31 23:55:00
XBarFDM,p426,2019-10-25 13:25:00,2019-10-24 00:00:00,abrupt,2019.0,True,False,True,2019-10-25 00:40:00,-12.75,1.6329444353948566,-0.2082867023298678,0.4603077844311811,True,-12.75,2019-10-25 13:25:00,2019-12-31 23:55:00
Hybrid,p426,2019-10-25 13:25:00,2019-10-24 00:00:00,abrupt,2019.0,True,False,True,2019-10-25 00:40:00,-12.75,,,,True,-12.75,2019-10-25 13:25:00,2019-12-31 23:55:00
CUSUM,p879,2019-11-20 11:55:00,2019-11-19 00:00:00,incipient,2019.0,True,False,True,2019-11-20 05:05:00,-6.833333333333333,36.63303205142086,1.882340015634898,0.6105505341903477,True,-6.833333333333333,2019-11-20 11:55:00,2019-12-31 23:55:00
XBarFDM,p879,2019-11-20 11:55:00,2019-11-19 00:00:00,incipient,2019.0,True,True,False,2019-12-02 01:40:00,277.75,2.1050338816974965,-0.35178283907761054,0.6142041801937768,False,277.75,2019-11-20 11:55:00,2019-12-31 23:55:00
Hybrid,p879,2019-11-20 11:55:00,2019-11-19 00:00:00,incipient,2019.0,True,False,True,2019-11-20 05:05:00,-6.833333333333333,,,,True,-6.833333333333333,2019-11-20 11:55:00,2019-12-31 23:55:00
